WikidataID,itemLabel,en_description,instanceof
Q316210,El cara de mono,President of Mexico (1823-1889),human
Q4889036,Benjamin Moran,American diplomat,human
Q723828,William Bauchop Wilson,Scottish-American politician in Pennsylvania (1862-1934),human
Q7721,Napoleon III,President and Emperor of the French (1808–1873),human
Q64167177,Charles Spencer Francis,American diplomat and newspaper editor,human
Q310192,George Brinton McClellan,American soldier and politician (1826–1885),human
Q972846,Léon Roches,French diplomat (1809-1900),human
Q54859869,Charles E. Hill,American political scientist (1881–1936),human
Q449670,James Russell Lowell,"American poet, critic, editor, and diplomat (1819-1891)",human
Q9212,United States Army,land service branch of the United States Armed Forces,army
Q6234003,John Franklin Swift,American politician (1829-1891),human
Q193082,Svishtov,town in Bulgaria,border town
Q68481,Fuzhou,"capital city of Fujian province, China",capital city
Q4814791,White Nile,river in Africa and tributary of the Nile River,river
Q16058974,Gregory Aristarchis,Greek Ottoman diplomat,human
Q517,Napoleon,"French military leader, French Emperor 1804–1814 and again in 1815",human
Q40942,Pernambuco,state in the Northeast Region of Brazil,federative unit of Brazil
Q7299845,Raúl Sáez,Chilean engineer,human
Q201463,Pearl River,river in China,river
Q504369,Henry Halleck,Union Army general,human
Q452070,Carlos Manuel de Céspedes del Castillo,"Cuban revolutionary hero, plantation owner, poet, musician; 1st (wartime) President of Cuba (1816-1874)",human
Q610626,Townsend Harris,American diplomat,human
Q38981,Vorarlberg,federal state of Austria,Federal states of Austria
Q45723,Jacques Maritain,French philosopher,human
Q38872,Prussia,"historic German state in central Europe, 1525–1947",historical country
Q886672,Robert Milligan McLane,American politician (1815-1898),human
Q138578,Hoboken,"city in Hudson County, New Jersey, United States",city in New Jersey
Q124094,Johann Caspar Bluntschli,Swiss jurist and politician (1808-1881),human
Q214228,Claus Spreckels,American rail entrepreneur,human
Q214481,Gustav Koerner,"German American politician, lawyer, judge, and diplomat (1809-1896)",human
Q7416,Margaret Thatcher,British stateswoman and prime minister (1925–2013),human
Q499278,Sonneberg,"municipality in Thuringia, Germany",district capital
Q38,Italy,country in Southern Europe,country
Q252,Indonesia,country in Southeast Asia and Oceania,country
Q1683452,Jardine Matheson,British conglomerate that incorporated in Bermuda and headquartered in Hong Kong,public company
Q817478,Benjamin Franklin Tracy,American politician (1830-1915),human
Q321214,Ernesto Hintze Ribeiro,Portuguese politician (1849-1907),human
Q942318,Rogers Morton,American politician (1914-1979),human
Q4854155,Bancroft Davis,American politician,human
Q49152,Cape Cod,"peninsula in Massachusetts, United States",peninsula
Q6125570,Sergio Ossa,Chilean businessperson (1919-2012),human
Q9648,Falkland Islands,archipelago in the South Atlantic Ocean and British Overseas Territory,British overseas territories
Q7940521,Volney V. Ashford,American soldier,human
Q2845063,Anaconda Copper,business,concern
Q1978,Prince Edward Island,province of Canada,province of Canada
Q435793,Robert Todd Lincoln,"Union Army officer, U.S. ambassador, and Secretary of War (1843–1926)",human
Q76821,George Grey,"British soldier, explorer, colonial administrator and writer (1812–1898)",human
Q703642,John Watson Foster,"American lawyer, politician and diplomat (1836-1917)",human
Q99570807,Francis March Hatch,American politician and judge,human
Q336493,István Tisza,Hungarian politician (1861–1918),human
Q5849175,Esteban Tomic,Chilean ambassador,human
Q1410997,Le Moniteur Universel,french newspaper,daily newspaper
Q173897,John Bassett Moore,American jurist,human
Q3182545,John Surratt,accused conspirator in assassination of Abraham Lincoln,human
Q5026753,Camilo Valenzuela,Chilean general,human
Q7525,Sevastopol,port city in Crimea,federal city of Russia
Q1026296,Jinotega,city in Nicaragua,city
Q15998594,Lawrence Townsend,American diplomat,human
Q310829,John Marshall,"chief justice of the United States from 1801 to 1835, (1755-1835)",human
Q1290702,Eduard de Stoeckl,Russian diplomat,human
Q159626,Württemberg,historical German territory in different forms from 1092 until 1945,historical region
Q441815,David P. Thompson,American politician (1834-1901),human
Q2749246,Bahía de Caráquez,"city of Manabí Province, Ecuador",city
Q1160530,Daniel Edgar Sickles,United States Army Medal of Honor recipient and Union Army general (1819-1914),human
Q7342617,Robert C. Kirk,American politician,human
Q34969,Benjamin Franklin,"American author, printer, political theorist, politician, postmaster, scientist, inventor, civic activist, statesman, diplomat, Founding Father (1706-1790)",human
Q12702,Robert Cecil,"lawyer, politician and diplomat in the United Kingdom (1864-1958)",human
Q35827,Río de la Plata,estuary formed by the confluence of the Uruguay River and the Paraná River on the border between Argentina and Uruguay,river
Q368045,Chester,"city in Pennsylvania, United States",home rule municipality of Pennsylvania
Q2029273,Boletín Oficial del Estado,official gazette of the Kingdom of Spain,organization
Q7231603,Porter Cornelius Bliss,American diplomat,human
Q3140,Hudson River,"river in New York State, United States",river
Q1273,Tuscany,region in central Italy,region of Italy
Q7412197,Samuel Mills Damon,"businessman and politician in the Kingdom, Republic, and Territory of Hawaii",human
Q441235,Louis Jules Trochu,"French general, President of the National Defence Council (1815-1896)",human
Q333691,Sanford B. Dole,American judge (1844-1926),human
Q1815140,Communist Party of Ecuador,political party (1926),communist party
Q9061,Karl Marx,German-born philosopher (1818–1883),human
Q4889693,Bennett H. Young,Confederate Army officer,human
Q1282007,"James Hannen, Baron Hannen",British judge (1821-1894),human
Q284041,United Conservative Party,former Chilean political party,political party
Q368,Augusto Pinochet,dictator of Chile from 1973 to 1990,human
Q5413,Yangtze,"longest river in Asia, and the third-longest in the world",river
Q2514280,Bradford R. Wood,American politician (1800-1889),human
Q1053419,Montoneros,Peronist urban guerrilla.,armed organization
Q1443101,Frank Coombs,American politician from California (1853-1934),human
Q42182,Buckingham Palace,official London residence and principal workplace of the British monarch,tourist attraction
Q122803,Erzurum,city in Turkey,city
Q20853526,Jorge Santibáñez Ceardi,Chilean politician,human
Q16963,Jiangsu,province of China,province
Q5665584,Gabriel García Tassara,Spanish writer and diplomat,human
Q5992377,Ignacio Mariscal,"Mexican writer, diplomat and politician",human
Q273546,Hannibal Hamlin,vice president of the United States from 1861 to 1865,human
Q448778,James G. Blaine,American politician (1830–1893),human
Q1699063,John A. Kasson,Member of U.S House of Representatives and an Ambassador (1822-1910),human
Q939779,Tomás Mejía,Mexican general,human
Q3132669,"Henry Bulwer, 1st Baron Dalling and Bulwer","British Liberal politician, diplomat and writer (1801-1872)",human
Q6066752,Patricio Phillips Peñafiel,Chilean politician (1922-1997),human
Q1200811,Desmond FitzGerald,"Irish revolutionary, poet, publicist and politician (1888-1947)",human
Q1967035,Roman Rosen,Russian diplomat (1847-1921),human
Q5783,Andalusia,autonomous community of Spain,autonomous community of Spain
Q4120832,Königsberg,"historic Prussian name of Kaliningrad, Russia",archaeological site
Q612155,Nicanor Costa Méndez,Argentine Diplomat (1922-1992),human
Q5556165,Sergio Molina,Chilean politician,human
Q886447,Pierre Nord Alexis,President of Haiti (1820-1910),human
Q886456,Pierre Théoma Boisrond-Canal,President of Haiti (1832-1905),human
Q2976980,William Woodville Rockhill,American diplomat and Sinologist (1854–1914),human
Q812105,Bayard Taylor,"United States poet, novelist and travel writer (1825-1878)",human
Q5284057,Divie Bethune McCartee,Missionary in China,human
Q216835,Cap-Haïtien,city in Haiti,city
Q7792844,Thomas O. Osborn,Union Army general,human
Q435375,Alexandre Colonna-Walewski,French politician (1810-1868),human
Q1064457,Charles Fried,American judge,human
Q27926264,Cerro de Pasco Corporation,American mining company,mining company
Q1710656,Washington Territory,territory of the USA between 1853–1889,territory of the United States
Q18911186,Hannis Taylor,"American diplomat, lawyer, and writer",human
Q1344993,Frederick Dent Grant,United States Army general and son of Ulysses S. Grant,human
Q886109,John Alden Dix,American politician (1860-1928),human
Q1064998,Charles J. McCarthy,American politician (1861-1929),human
Q11769,Bering Strait,strait between Asia and North America,strait
Q1606684,Henry Drummond Wolff,British diplomat and politician (1830-1908),human
Q317952,Communist Party of Chile,political party in Chile,political party
Q724521,Ebenezer R. Hoar,"American lawyer, judge, and politician (1816-1895)",human
Q656969,Richard B. Hubbard,Governor of Texas from 1876 to 1879,human
Q1065145,Charles K. Tuckerman,American author and diplomat,human
Q5345617,Edward Thornton,British diplomat (1766-1852),human
Q3753691,FRAP,Chilean left-wing coalition of parties (1956–1969),political party
Q271876,Gilbert Islands,chain of sixteen atolls and coral islands in the Pacific Ocean,archipelago
Q107393070,John Seys,"American reverend, missionary, and diplomat",human
Q558247,Yaqub Beg,Head of the Kingdom of Kashgaria,human
Q880411,Marshall Jewell,American politician (1825-1883),human
Q213576,Huai River,major river in Northern China,river
Q5342512,Edward D. Townsend,United States Army general (1817-1893),human
