,WikidataID,itemLabel,en_description,instanceof
1667,Q24250,Frank Guinta,American politician,human
1668,Q1022514,Charles Jasper Bell,American politician (1885-1978),human
1669,Q5439108,Faysal al-Shaabi,Prime Minister of South Yemen,human
1670,Q5232419,David Clendenin,American politician,human
1671,Q2165678,Ronald M. Mottl,American politician,human
1672,Q27916210,Prakash Sharan Mahat,Nepalese politician,human
1673,Q51005,John Kufuor,fifth President of the Republic of Ghana and Lawyer,human
1674,Q1442420,Henry Hull Carlton,"Confederate Army officer, lawyer and politician (1835-1905)",human
1675,Q913878,Alney McLean,American politician (1779-1841),human
1676,Q1440371,William Robert Smith,United States federal judge (1863-1924),human
1677,Q314688,Chadli Bendjedid,Algerian politician (1929-2012),human
1678,Q5302639,Dow W. Harter,congressman,human
1679,Q1292736,María Eugenia Brizuela de Ávila,Salvadoran lawyer,human
1680,Q2819666,Norton P. Chipman,Union Army general,human
1681,Q7787237,Thomas B. Dunn,American politician,human
1682,Q166714,H. H. Asquith,Prime Minister of the United Kingdom from 1908 to 1916,human
1683,Q64485,John J. Wood,American politician (1784-1874),human
1684,Q5997815,Maurice J. Murphy Jr.,American politician,human
1685,Q314691,Mohamed Boudiaf,President of Algeria (1919-1992),human
1686,Q3408766,Paul Cook,"US politician, educator",human
1687,Q4103480,Antonio Vañek,Argentine military officer,human
1688,Q1286936,Edmund W. Hubard,Confederate Army officer (1806-1878),human
1689,Q323417,Abraham Ribicoff,American politician (1910–1998),human
1690,Q186215,Jim Jordan,U.S. Representative from Ohio,human
1691,Q314776,Ghulam Ishaq Khan,7th President of Pakistan (1915-2006),human
1692,Q2897148,Birhanu Bayeh,Ethiopian politician,human
1693,Q7794286,Thomas Sutler Williams,American politician,human
1694,Q6279,Joe Biden,President of the United States since 2021,human
1695,Q404461,Simeon B. Chittenden,American politician (1814-1889),human
1696,Q3309380,Narciso Campero,President of Bolivia (1813-1896),human
1697,Q139887,Zack Space,American politician,human
1698,Q1765596,Loren Fletcher,American politician (1833-1919),human
1699,Q474578,Robert N. Page,American politician (1859-1933),human
1700,Q308017,Abdelwahab Abdallah,Tunisian politician,human
1701,Q404242,Joshua Weldon Miles,American politician (1858-1929),human
1702,Q180383,Helen Clark,Prime Minister of New Zealand from 1999 to 2008,human
1703,Q13219098,Isidore Dollinger,American politician,human
1704,Q13219089,William A. Chanler,American politician,human
1705,Q18020986,Héctor Escobar Serrano,Salvadoran jurist and judge (1904-1986),human
1706,Q8612,Andrew Johnson,president of the United States from 1865 to 1869,human
1707,Q1607235,Henry S. Magoon,American politician,human
1708,Q16104896,Giorgi Khoshtaria,,human
1709,Q1646067,James H. Cassidy,American politician (1869-1926),human
1710,Q358173,Steingrímur Hermannsson,Prime Minister of Iceland (1928-2010),human
1711,Q1286753,George Mallet,Saint Lucian politician (1923-2010),human
1712,Q34060,Yizhak Rabin,"Israeli politician, statesman and general (1922-1995)",human
1713,Q5486414,Frank Eckels Beltzhoover,American politician,human
1714,Q1800157,Lafayette Lane,American politician (1842-1896),human
1715,Q1558105,Thomas M. Eaton,American politician (1896-1939),human
1716,Q2856411,Arthur George Klein,American politician (1904-1968),human
1717,Q3140995,Hossein Ghods-Nakhai,Iranian politician,human
1718,Q1095387,Clarence Clifton Young,American politician (1922-2016),human
1719,Q306,Sebastián Piñera,35th and 37th president of Chile,human
1720,Q5080048,Charles Landon Knight,American politician,human
1721,Q6061876,Ioan Totu,Romanian politician,human
1722,Q7346534,Robert L. Coffey,Recipient of the Purple Heart medal,human
1723,Q465770,W. T. Cosgrave,Irish politician (1880-1965),human
1724,Q16191011,Marise Payne,Australian politician,human
1725,Q1064921,Charles Humphrey Atherton,American politician (1773-1853),human
1726,Q4285047,Olavi J. Mattila,Finnish politician,human
1727,Q1161815,Daniel Moreau Barringer,American politician (1806-1873),human
1728,Q1794126,William Wallace McCredie,American politician (1862-1935),human
1729,Q6223665,John Brutzman Storm,American politician,human
1730,Q1246386,Janet Bostwick,Bahamian lawyer and politician,human
1731,Q34413,Benazir Bhutto,11th and 13th Prime Minister of Pakistan,human
1732,Q1260497,Robert Lee Doughton,American politician (1863-1954),human
1733,Q2421884,Thomas A. E. Weadock,American judge and politician (1850–1938),human
1734,Q1625402,Momodou Lamin Sedat Jobe,Gambian politician,human
1735,Q6285623,Joseph Morelle,American politician,human
1736,Q466001,Le Duan,former General Secretary of the Communist Party of Vietnam (1907-1986),human
1737,Q20526005,Nikola J. Samardžić,politician,human
1738,Q1707358,Joseph K. Edgerton,American politician (1818-1893),human
1739,Q4588694,Richard S. Molony,American politician,human
1740,Q296950,Antanas Smetona,First President of Lithuania from 4 April 1919 until 19 June 1920,human
1741,Q2278000,Shelton Leake,American politician (1812-1884),human
1742,Q2120012,Gabriel Christie,American politician (1756-1808),human
1743,Q1676304,J. D. Hayworth,American politician,human
1744,Q27923290,Roger Marshall,American politician,human
1745,Q466115,Judah P. Benjamin,American politician and lawyer (1811-1884),human
1746,Q1377975,Obadiah Gardner,American politician (1852–1938),human
1747,Q14627668,Eladio Loizaga,Paraguayan diplomat,human
1748,Q13219668,George Washington Kipp,American politician,human
1749,Q13219655,Jacob Hostetter,American politician,human
1750,Q889406,John P. Gaines,American politician (1795-1857),human
1751,Q6130727,James C. Healey,American politician,human
1752,Q216943,Jacobo Árbenz,president of Guatemala in 1951–54,human
1753,Q376332,Thomas M. Bowen,Union Army general (1835-1906),human
1754,Q13219697,Marc L. Marks,American politician,human
1755,Q983149,Thomas E. Stewart,American politician (1824-1904),human
1756,Q1361138,Francis Willis,American politician (1745-1829),human
1757,Q1680500,James H. Sinclair,American politician (1871-1943),human
1758,Q2052637,Parke M. Banta,American politician,human
1759,Q460926,John Williams,"American lawyer, soldier, and U.S. Senator (1778-1837)",human
1760,Q6111670,Ronald McLean Abaroa,Bolivian politician,human
1761,Q376549,Juan Carlos Wasmosy,44.° President of Paraguay,human
1762,Q6232462,John F. McKinney,American politician (1827-1903),human
1763,Q697184,Per Stig Møller,Danish politician,human
1764,Q885,Józef Piłsudski,"Polish politician, First Marshall, and Prime Minister (1867–1935)",human
1765,Q5541018,George J. Smith,"American politician, New York",human
1766,Q8006278,William C. Cooper,"mayor, lawyer, legislator, DA,",human
1767,Q5045141,Caroline Love Goodwin,American politician (1875-1943),human
1768,Q1726519,Ronnie Flippo,American politician,human
1769,Q7173784,Peter E. Costello,American politician,human
1770,Q2218571,Samuel Lilly,American judge (1815-1880),human
1771,Q314265,Pierre Mendès France,French politician (1907-1982),human
1772,Q2174776,Rufus Hardy,American politician,human
1773,Q7791563,Thomas Kittera,American politician,human
1774,Q376716,John Rutherfurd,(1760-1840) United States Senator from New Jersey,human
1775,Q976300,Ralph H. Cameron,Republican U.S. Senator from Arizona,human
1776,Q1507488,George H. Wilson,American politician (1905-1985),human
1777,Q1337555,Emilio de los Santos,Dominican politician (1903-1986),human
1778,Q5799767,David Aguilar Cornejo,Peruvian politician and lawyer,human
1779,Q3741557,Federica Mogherini,Italian politician,human
1780,Q1933336,Mike McKevitt,American politician,human
1781,Q1670203,William Johnson Stone,"American politician, Kentucky (1841-1923)",human
1782,Q601975,Antonio Flores Jijón,President of Ecuador (1888 - 1892),human
1783,Q1792980,William E. Dodge,American politician (1805-1883),human
1784,Q2157848,Robert Kirkland Henry,American politician,human
1785,Q640983,Francis Burton Craige,American politician and lawyer (1811-1875),human
1786,Q23005525,Mikheil Janelidze,Georgian politician,human
1787,Q6225694,John Chaney,American politician,human
1788,Q19918312,Peete Nkuebe Peter Peete,Mosotho politician,human
1789,Q1052296,Cecil F. White,American lawyer and politician (1900-1992),human
1790,Q179156,Charles Delano,American politician (1820-1883),human
1791,Q462565,J. Hamilton Lewis,American politician (1863–1939),human
1792,Q1877224,Lulzim Basha,Albanian politician,human
1793,Q3701880,Alexander H. Buell,American politician (1801-1853),human
1794,Q1230,Francesco Cossiga,8th President of Italy (1928-2010),human
1795,Q359265,David C. Broderick,American politician (1820-1859),human
1796,Q4942010,Bonifacio del Carril,Argentine diplomat (1911-1994),human
1797,Q4740763,Amaziah B. James,American politician (1812-1883),human
1798,Q797694,Babiker Awadalla,Sudanese politician and judge (1917-2019),human
1799,Q1323,Domingo Santa María,Chilean politician and President (1825-1889),human
1800,Q1445295,Franklin William Fort,American politician (1880-1937),human
1801,Q1291600,Edward B. Almon,American politician (1860-1933),human
1802,Q516255,George Graham Vest,U.S. politician (1830-1904),human
1803,Q203843,Alfonso García Robles,Mexican diplomat and politician (1911-1991),human
1804,Q5769041,Hiram Bell,American politician (1808-1855),human
1805,Q5712486,Phil English,American politician,human
1806,Q494930,Matthew Ridgway,United States Army general (1895–1993),human
1807,Q47846,Naoto Kan,94th Prime Minister of Japan,human
1808,Q4167334,A R Shamsud Doha,Bangladeshi politician,human
1809,Q4198159,Ismail Abdul Rahman,Malaysian politician,human
1810,Q1366620,James Abourezk,United States Senator,human
1811,Q2417092,Theobald Otjen,American politician (1851-1924),human
1812,Q2218935,Samuel W. Trotti,American politician,human
1813,Q1027427,John R. Fellows,American politician (1832-1896),human
1814,Q5730347,Henry Wilson,American politician (1778-1826),human
1815,Q3181414,John Porter,American politician in Illinois (born 1935),human
1816,Q731342,Joseph Gordon Coates,New Zealand politician (1878-1943),human
1817,Q1027501,Cornelius Leary,American politician (1813-1893),human
1818,Q24950893,Bruno Leingkone,politician,human
1819,Q5480746,Francis Dolan Collins,American politician,human
1820,Q2426299,Thomas Newbold,American politician,human
1821,Q923042,Santos León Herrera,Presidente Interino de la República de Costa Rica (1874-1950),human
1822,Q7411886,"Samuel Kerns McConnell, Jr.",American politician,human
1823,Q56651422,Bocchit Edmond,Haitian politician,human
1824,Q5848810,Estanislao Valdés Otero,Uruguayan politician,human
1825,Q1066360,Charles W. Roark,American politician (1887-1929),human
1826,Q1291790,Edward Burnett,Member of the United States House of Representatives from Massachusetts (1849-1925),human
1827,Q7498753,Shirley Gbujama,Sierra Leonean politician,human
1828,Q7788766,Thomas Cusack,American politician,human
1829,Q214639,Andrew Kiefer,American politician (1832-1904),human
1830,Q887712,Rafael Ángel Calderón Fournier,President of Costa Rica,human
1831,Q1027513,James Morrison Harris,American politician (1817-1898),human
1832,Q2800221,Scott Rigell,American politician,human
1833,Q799521,John H. Graham,"American politician, New York (1835-1895)",human
1834,Q9696968,Carlos Corrêa Gago,Portuguese politician,human
1835,Q1291831,"Edward C. Moran, Jr.",American politician (1894–1967),human
1836,Q4718955,Alexander Gilmore Cochran,American politician,human
1837,Q6107285,J. Twing Brooks,American politician,human
1838,Q8016923,William Piper,American politician,human
1839,Q2094707,Selim al-Hoss,Lebanese politician,human
1840,Q438079,Kadyrbek Sarbayev,Foreign minister of Kyrgyzstan,human
1841,Q5569208,Glenni William Scofield,"American politician, lawyer and judge",human
1842,Q219256,Andreas Papandreou,Greek economist and politician (1919–1996),human
1843,Q2374065,Sylvester C. Smith,American politician,human
1844,Q586407,Dixon Hall Lewis,American politician (1802-1848),human
1845,Q867248,James J. Heffernan,American politician (1888-1967),human
1846,Q1638956,Luther C. Carter,American politician (1805-1875),human
1847,Q553013,Celso Lafer,Brazilian politician,human
1848,Q1697032,Orrin Holt,American politician (1792-1855),human
1849,Q1193423,Thomas Child,American politician (1818-1869),human
1850,Q57701,Dean Barrow,Prime Minister of Belize from 2008 to 2020,human
1851,Q1396953,Ljubomir Frčkoski,Macedonian politician,human
1852,Q6371912,Karl Hood,Grenadian politician,human
1853,Q1369678,Francis Billy Hilly,Prime Minister of the Solomon Islands,human
1854,Q981559,Dutch Ruppersberger,American politician,human
1855,Q2577773,William Adam Piper,American politician,human
1856,Q6217755,Lawrence Tyson,United States Senator from Tennessee,human
1857,Q7787759,Thomas Boude,American politician (1752-1822),human
1858,Q1621096,Tim Mahoney,American politician,human
1859,Q1292048,Edward Dexter Holbrook,American delegate for Idaho (1836-1870),human
1860,Q890410,Bogdan Borusewicz,Polish politician,human
1861,Q1683476,Jared Perkins,American politician (1793-1854),human
1862,Q1174513,David Gardiner Tyler,Confederate Army soldier (1846-1927),human
1863,Q715787,Bob Bennett,American politician (1933–2016),human
1864,Q4719194,Alexander Irvin,American politician,human
1865,Q1077474,Chris Lee,American former politician,human
1866,Q3917251,Ann Wagner,U.S. Representative from Missouri,human
1867,Q372316,Clarence Dill,American politician (1884-1978),human
1868,Q2183134,Jeremiah Cosden,American politician,human
1869,Q761776,George Washington Owen,American politician (1796-1837),human
1870,Q1174586,David Grant Colson,American politician (1861-1904),human
1871,Q706631,Børge Brende,Norwegian politician,human
1872,Q4890290,Benson Wood,American politician (1839-1915),human
1873,Q2577903,William Augustus Hall,American politician,human
1874,Q2577917,William B. Bowling,American politician,human
1875,Q958091,Jacob Hart Ela,American politician (1820-1884),human
1876,Q23020745,Josh Hawley,American lawyer and politician (born 1979),human
1877,Q923522,James Shields,Irish-American politician and general (1806-1879),human
1878,Q2577936,William B. Small,American politician,human
1879,Q4695845,Ahmed Hassan Diria,Tanzanian politician,human
1880,Q927573,Nelson W. Aldrich,American politician (1841-1915),human
1881,Q1292190,Edward Fenwick Tattnall,American politician (1788-1832),human
1882,Q7045294,Noadiah Johnson,American politician,human
1883,Q7803244,Tim Burchett,American politician,human
1884,Q2577976,William Barry Grove,American politician,human
1885,Q4832271,Azariah Boody,American politician (1815-1885),human
1886,Q723174,Seymour Halpern,American politician (1913-1997),human
1887,Q731783,Paul Wellstone,American politician (1944-2002),human
1888,Q1329430,Elijah S. Grammer,American politician (1868-1936),human
1889,Q6251694,John P. Saylor,American politician,human
1890,Q6353461,Kalla Ankourao,Nigerien politician,human
1891,Q1174701,David Heaton,American politician (1823-1870),human
1892,Q5238326,David P. Richardson,politician,human
1893,Q320156,Benjamin Mkapa,Tanzanian politician and former president (1938-2020),human
1894,Q312361,Artur da Costa e Silva,President of Brazil (1899–1969),human
1895,Q3562259,John M. Murphy,American politician,human
1896,Q5616185,Guillermo Larco Cox,Peruvian politician,human
1897,Q65048620,Ibrahim Mukiibi,,human
1898,Q5485622,Frank C. Kniffin,American politician (1894-1968),human
1899,Q134982,David Lloyd George,Prime Minister of the United Kingdom from 1916 to 1922,human
1900,Q174037,Henry Cabot Lodge,American statesman (1850–1924),human
1901,Q369437,Pat Harrison,American politician (1881-1941),human
1902,Q1708173,Joseph Warren Fordney,American politician (1853-1932),human
1903,Q1514925,Gerry Studds,American politician (1937-2006),human
1904,Q827365,Bert H. Miller,American politician (1879-1949),human
1905,Q16728087,Curt Clawson,American politician,human
1906,Q1268342,John Hogan,American politician (1805-1892),human
1907,Q3195923,Khadga Prasad Sharma Oli,Former Prime Minister of Nepal,human
1908,Q2218180,Samuel Eddy,American politician (1769-1839),human
1909,Q1063671,Charles Barwig,American politician (1837-1912),human
1910,Q82462,Samuel Jordan Cabell,American politician (1756-1818),human
1911,Q93384,John J. Morgan,American politician (1770-1849),human
1912,Q1373098,John Hill,"U.S. Representative from Virginia, cousin of John Thomas Harris (1800-1880)",human
1913,Q1373943,Fernando de Araújo,President of East Timor (1963-2015),human
1914,Q5079957,Charles L. Knapp,American politician,human
1915,Q1176146,David Plant,American politician (1783-1851),human
1916,Q93393,Robert A. Thompson,U.S. Representative from Virginia (1805-1876),human
1917,Q2085930,Philetus Sawyer,American politician (1816-1900),human
1918,Q2149830,"Richard Howard Ichord, Jr.",American politician (1926-1992),human
1919,Q1176340,David Rivera,Republican politician from Florida,human
1920,Q1691592,Joe Schwarz,American politician,human
1921,Q644726,Emilio Arenales Catalán,Guatemalan politician,human
1922,Q888624,James Henderson Berry,American politician (1841-1913),human
1923,Q156781,Mário Soares,President of Portugal (1924–2017),human
1924,Q1239987,Donald J. Irwin,Argentine-born American politician (1926-2013),human
1925,Q255545,Ismail al-Azhari,President of Sudan from 1965 to 1969,human
1926,Q4420120,John V. Le Moyne,American politician (1828-1918),human
1927,Q55758,Aleksander Kwaśniewski,Polish politician and journalist,human
1928,Q291550,Sylvie Kinigi,Burundian politician,human
1929,Q57242006,Joe Neguse,American politician,human
1930,Q56007580,Maludin Simbolon,Indonesian military personnel,human
1931,Q57677,Jigme Thinley,Prime Minister of Bhutan,human
1932,Q1422610,Henry I. Emerson,American politician (1871-1953),human
1933,Q8014840,William M. Berlin,American politician (1880-1962),human
1934,Q666931,John Lindsay,American politician (1921–2000),human
1935,Q799513,Nelson Taylor,Union Army general (1821-1894),human
1936,Q2271939,William Dietz,American politician,human
1937,Q1545423,Gregory W. Carman,United States Judge (1937-2020),human
1938,Q969896,Ralph Izard,American politician,human
1939,Q860987,Manuel Franco,President of Paraguay (1871-1919),human
1940,Q770219,Augustus C. Dodge,American politician (1812-1883),human
1941,Q3421171,Raymond Tshibanda,Democratic Republic of Congo politician,human
1942,Q20015804,Ana María Sánchez de Ríos,Peruvian diplomat,human
1943,Q2422531,Thomas Blount,American politician (1759-1812),human
1944,Q57488,Jakaya Mrisho Kikwete,Tanzanian politician and former president,human
1945,Q368474,William S. Herndon,American politician (1835-1903),human
1946,Q369827,Wall Doxey,American politician (1892-1962),human
1947,Q1240224,"Donald Payne, Jr.",U.S. Representative from New Jersey,human
1948,Q1708627,Josiah Dean,American politician (1748-1818),human
1949,Q1083030,Christie Benet,"American politician, college football player and coach (1879-1951)",human
1950,Q1177015,David W. Dennis,American politician (1912-1999),human
1951,Q960807,John Reeves Jones Daniel,American politician (1802-1868),human
1952,Q6990549,Nelson H. Van Vorhes,"Union Army officer, politician",human
1953,Q177931,George Turner,U.S. politician from Washington state (1850-1932),human
1954,Q662005,Bernhard Hammer,member of the Swiss Federal Council (1822-1907),human
1955,Q129693,Henry B. Metcalfe,American politician (1805-1881),human
1956,Q104705,Umaru Musa Yar'Adua,President of Nigeria (1951-2010),human
1957,Q1240351,Donald Sangster,Jamaican politician (1911-1967),human
1958,Q5541427,George Kremer,American politician,human
1959,Q712059,William Barksdale,Confederate Army general (1821-1863),human
1960,Q1974507,Nehemiah Eastman,American congressman for New Hampshire (1782-1856),human
1961,Q1310493,John M. Faison,American politician (1862-1915),human
1962,Q2424491,Thomas Hackney,American politician (1861-1946),human
1963,Q309650,Isa II of Bahrain,Emir of Bahrain (1961-1999),human
1964,Q188978,Kostas Karamanlis,"Greek politician ,former Prime Minister  of Greece",human
1965,Q2216466,Sam G. Bratton,United States Senator from New Mexico,human
1966,Q4709999,Albert D. Shaw,American politician,human
1967,Q2086427,Philip S. Post,American politician (1833–1895),human
1968,Q1485805,Joel Hefley,American politician,human
1969,Q6934100,Mullah Mohammad Hasan,Taliban Governor of Kandahar,human
1970,Q2150336,Richard P. Ernst,American politician (1858–1934),human
1971,Q5217998,"Daniel M. Donovan, Jr.",American politician,human
1972,Q1680102,James C. Harper,American politician (1819-1890),human
1973,Q2643213,Alexander W. Gregg,American politician (1855-1919),human
1974,Q1281002,George M. Landers,American politician (1813-1895),human
1975,Q1708902,José Agustín Arango,Panamanian politician (1841-1909),human
1976,Q174690,"Robert E. Jones, Jr.",American politician (1912–1997),human
1977,Q631523,Emil Jónsson,Icelandic politician (1902-1986),human
1978,Q1733011,Nat Patton,American politician (1881-1957),human
1979,Q1669217,John C. Schafer,politician (1893-1962),human
1980,Q1700563,John J. Babka,American politician (1884-1937),human
1981,Q1677457,Jacob Crowninshield,American politician (1770-1808),human
1982,Q518956,José Giral,Spanish politician (1879-1962),human
1983,Q4570471,Tedo Japaridze,Georgian politician,human
1984,Q5080626,Charles Mann Hamilton,American politician,human
1985,Q1827269,Lionel Van Deerlin,"journalist, politician (1914-2008)",human
1986,Q5080638,Charles Manning Reed,American politician,human
1987,Q5445377,"Ferris Jacobs, Jr.",Union Army officer,human
1988,Q4476061,Hugh Reid Belknap,American politician (1860-1901),human
1989,Q2424696,Thomas H. Carter,"American politician, Montana",human
1990,Q826515,B. F. Sisk,American politician (1910-1995),human
1991,Q370284,Nelson Dingley,Journalist and politician (1832-1899),human
1992,Q370362,Francis Granger,American politician (1792-1868),human
1993,Q731446,John W. Langley,American politician (1868-1932),human
1994,Q1372141,Paul Douglas,American politician (1892-1976),human
1995,Q1739891,Sam R. Sells,American politician (1871-1935),human
1996,Q363555,José Félix Uriburu,former President of Argentina (1868-1932),human
1997,Q64747413,Thuli Dladla,Swazi politician,human
1998,Q8015783,William Moore McCulloch,American politician,human
1999,Q34597,James A. Garfield,president of the United States in 1881,human
2000,Q1290881,Elias S. Holliday,American politician (1842-1936),human
2001,Q1143439,Cullen Sawtelle,American politician (1805-1887),human
2002,Q808684,William P. Bolton,American lawyer and politician (1885-1964),human
2003,Q1687359,William Elliott,American politician (1838-1907),human
2004,Q544561,George S. Boutwell,United States politician (1818-1905),human
2005,Q1066329,Charles W. Bell,American politician (1857-1927),human
2006,Q371159,Daniel T. Jewett,American politician (1807-1906),human
2007,Q10365311,Rui Patrício,Portuguese writer,human
2008,Q2536717,W. Jasper Blackburn,American politician,human
2009,Q798849,Baddeley Devesi,Solomon Island politician (1941-2012),human
2010,Q1329343,Eligius Fromentin,American politician (1767-1822),human
2011,Q47216,Condoleezza Rice,American Republican politician; U.S. Secretary of State; political scientist,human
2012,Q1065601,Charles N. Fowler,American politician (1852-1932),human
2013,Q505222,Ron Kind,US American politician from Wisconsin,human
2014,Q8015661,William Milnor,American politician (1769-1848),human
2015,Q6138413,James M. E. O'Grady,American politician (1863-1928),human
2016,Q1700842,John Light Napier,American politician,human
2017,Q1610417,Leonard Boswell,American politician (1934-2018),human
2018,Q1326874,Lincoln Diaz-Balart,American politician,human
2019,Q1415721,Philemon Thomas,American politician (1763-1847),human
2020,Q1329431,Elijah Webb Chastain,Confederate Army officer (1813-1874),human
2021,Q170899,Néstor Kirchner,former President of Argentina (1950-2010),human
2022,Q5079512,Charles John Biddle,Union Army officer (1819-1873),human
2023,Q885858,Julio Herrera y Obes,,human
2024,Q718351,José Joaquín Trejos Fernández,Costa Rican President (1966-1970),human
2025,Q1606572,Henry C. Snodgrass,American politician (1848-1931),human
2026,Q434459,Daniel Rodney,American politician (1764-1846),human
2027,Q505427,Andrew Jackson Hamilton,American politician (1815-1875),human
2028,Q1619224,John Nicholson,United States Representative from New York (1765-1820),human
2029,Q7791478,Thomas Kempshall,American politician,human
2030,Q6118885,Jacob Krebs,American politician,human
2031,Q373534,James Hillhouse,"American lawyer, real estate developer and politician (1754-1832)",human
2032,Q1607193,Henry R. Harris,U.S. Representative from Georgia (1828-1909),human
2033,Q703421,Kinzang Dorji,Prime Minister of Bhutan,human
2034,Q6106352,J. Leroy Adair,American politician (1887-1956),human
2035,Q1232464,Gerry Sikorski,American politician,human
2036,Q529433,Chaovarat Chanweerakul,Thai politician,human
2037,Q885022,Chauncey Fitch Cleveland,American politician (1799-1887),human
2038,Q471311,Charles Floquet,French politician (1828-1896),human
2039,Q505473,"Andrew Jacobs, Jr.",United States Marine (1932-2013),human
2040,Q354194,Adelbert Ames,Union Army general and Medal of Honor recipient (1835-1933),human
2041,Q214817,Gustavus Sessinghaus,American politician (1838-1887),human
2042,Q5942113,Luke Lea,"American politician, born 1879",human
2043,Q16728590,Mamadú Iaia Djaló,Guinea-Bissauan politician,human
2044,Q1329407,Tic Forrester,"American lawyer, veteran and politician (1896-1970)",human
2045,Q437416,José María Reyna Andrade,Guatemalan President (1860-1947),human
2046,Q2530099,Daniel Fernández Crespo,Uruguayan politician,human
2047,Q98751091,Ahmed Taibi Benhima,Moroccan politician,human
2048,Q1701732,John Shadegg,American politician,human
2049,Q6406318,Izzat al-Nuss,Syrian politician,human
2050,Q455345,Amasa Junius Parker,American politician (1807-1890),human
2051,Q1807209,Jim Sasser,American politician,human
2052,Q2148815,Rice Garland,American politician,human
2053,Q404143,Darwin R. James,American politician (1834-1908),human
2054,Q1410929,William Lawrence Scott,American politician (1828-1891),human
2055,Q7411348,Samuel F. Miller,American politician,human
2056,Q1371160,Ethelbert Barksdale,American politician (1824-1893),human
2057,Q2218457,Samuel J. R. McMillan,American politician,human
2058,Q1680469,James Graham,Congressional Representative from North Carolina (1793-1851),human
2059,Q539521,Michael C. Burgess,American politician,human
2060,Q275020,Émile Combes,French statesman (1835-1921),human
2061,Q1723507,Thomas E. Miller,American politician (Republican) (1849-1938),human
2062,Q1065837,Charles R. Evans,American politician (1866-1954),human
2063,Q1209631,Dick Chrysler,American politician,human
2064,Q1065850,Charles Raymond Robertson,American politician (1889-1951),human
2065,Q1259413,Francis Cockrell,Confederate Army general (1834-1915),human
2066,Q461739,Karen Bass,American politician from California,human
2067,Q6530684,Leslie C. Arends,American politician,human
2068,Q1748929,Thomas Fletcher,American politician,human
2069,Q7792241,Thomas Maxwell,American politician (1792-1864),human
2070,Q223419,Manuel Roxas,President of the Philippines from 1946 to 1948,human
2071,Q1383147,Francis B. Cutting,American politician (1804-1870),human
2072,Q1607386,Henry Washington Hilliard,Confederate Army general (1808-1892),human
2073,Q1922023,Merrill Cook,United States Congressman from Utah,human
2074,Q205545,Eleftherios Venizelos,"Greek politician, former Prime Minister  of Greece",human
2075,Q1630327,Hosea Moffitt,American politician (1757-1825),human
2076,Q1386353,Humphrey Marshall,American politician (1760-1841),human
2077,Q157651,Gustáv Husák,"Czechoslovak politician, 9th President of Czechoslovakia (1913-1991)",human
2078,Q2377496,Abraham Dowdney,politician and Union United States Army officer,human
2079,Q2218595,Samuel Lyman,American politician,human
2080,Q1506918,George B. Terrell,American politician (1862-1947),human
2081,Q2427815,Thomas Updegraff,American politician,human
2082,Q319216,Ibrahim Abboud,Sudanese politician and head of state (1900–1983),human
2083,Q20434880,Miso Pavicevic,,human
2084,Q2423069,Thomas Cooper,American politician,human
2085,Q1682882,Hamilton D. Coleman,Confederate Army soldier and American politician (1845-1926),human
2086,Q549521,Mike Simpson,American politician,human
2087,Q1500509,"Prince Hulon Preston, Jr.",American politician (1908-1961),human
2088,Q918287,Viggo Kampmann,Danish politician (1910-1976),human
2089,Q1373905,Thawan Thamrongnawasawat,8th prime minister of Thailand (1901-1988),human
2090,Q1366285,William A. McKeighan,Member of the United States House of Representatives from Nebraska (1842-1895),human
2091,Q373825,Walter Flowers,American politician (1933-1984),human
2092,Q1749174,Alieu Badara N’Jie,Gambian politician (1904-1982),human
2093,Q1607589,Henson Moore,"American politician, attorney and businessman",human
2094,Q1335084,Knud Kristensen,Danish politician (1880–1962),human
2095,Q37610,David Ben-Gurion,"Israeli politician, Zionist leader, prime minister of Israel (1886–1973)",human
2096,Q175218,John Henderson,lawyer and U.S. Senator from Mississippi (1797-1857),human
2097,Q1677588,Jacob Montgomery Thornburgh,American politician (1837-1890),human
2098,Q866975,Chu Fu-Sung,Taiwanese politician (1915-2008),human
2099,Q29549453,Ahmad Salim uld Sidi,Mauritanian politician,human
2100,Q279193,Vic Donahey,American politician (1873-1946),human
2101,Q708401,Samuel J. Kirkwood,American politician (1813-1894),human
2102,Q1475335,"W. S. Stuckey, Jr.",American politician,human
2103,Q4419897,Horatio C. Burchard,American politician (1825–1908),human
2104,Q315594,Fumimaro Konoe,Japanese politician (1891–1945),human
2105,Q365703,Gerardo Machado,President of Cuba from 1925 to 1933,human
2106,Q1702080,John W. Weeks,American politician (1781-1853),human
2107,Q1873063,Lucas Elmendorf,American politician (1758-1843),human
2108,Q2043572,Peter Davis Oakley,American politician (1861-1920),human
2109,Q2421979,Thomas Alberter Chandler,American politician,human
2110,Q4723257,Alfred P. Stone,American politician,human
2111,Q118215,Eugène Ruffy,member of the Swiss Federal Council (1854-1919),human
2112,Q1043040,Kamel Morjane,Tunisian politician,human
2113,Q313411,George Shultz,"American economist, statesman, and businessman (1920-2021)",human
2114,Q365803,Clyde M. Reed,American politician (1871-1949),human
2115,Q473247,Habibullāh Kalakāni,King of Afghanistan (1929),human
2116,Q4665473,Abdul Karim Koroma,Sierra Leonean politician,human
2117,Q1385148,John H. McCarthy,American politician (1850-1908),human
